1_G,2_G,3_G,4_G,5_G,6_G,7_G,8_G,9_G,10_G,11_G,12_G,13_G,14_G
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
142.1,22.0,142.1,0,0,142.1,0,13.2,0,0,0,0,0,0
